Ordinal,Type,Added,AST
0,MULTI,8,5
2,VAR,8,5
3,VALUE,8,5
0,MULTI,2,9
3,VALUE,2,9
0,MULTI,8,2
1,CONTROL,8,2
0,MULTI,1,2
1,CONTROL,1,2
0,MULTI,10,15
3,VALUE,10,15
0,MULTI,4,13
2,VAR,3,13
3,VALUE,4,13
0,MULTI,6,5
2,VAR,6,5
0,MULTI,10,4
3,VALUE,10,4
0,MULTI,5,31
1,CONTROL,1,31
2,VAR,1,31
3,VALUE,4,31
0,MULTI,2,10
2,VAR,2,10
3,VALUE,2,10
0,MULTI,14,26
1,CONTROL,12,26
3,VALUE,8,26
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,4,12
2,VAR,4,12
3,VALUE,2,12
0,MULTI,15,4
2,VAR,1,4
3,VALUE,15,4
0,MULTI,2,1
2,VAR,1,1
3,VALUE,2,1
0,MULTI,1,35
2,VAR,1,35
0,MULTI,7,21
1,CONTROL,3,21
2,VAR,4,21
3,VALUE,4,21
0,MULTI,8,1
2,VAR,8,1
3,VALUE,8,1
0,MULTI,1,2
3,VALUE,1,2
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,16,317
2,VAR,16,317
3,VALUE,16,317
0,MULTI,1,16
3,VALUE,1,16
0,MULTI,29,4
1,CONTROL,28,4
2,VAR,1,4
3,VALUE,1,4
0,MULTI,166,4
1,CONTROL,166,4
0,MULTI,1,16
3,VALUE,1,16
0,MULTI,36,9
1,CONTROL,36,9
0,MULTI,4,2
3,VALUE,4,2
0,MULTI,69,16
1,CONTROL,8,16
3,VALUE,65,16
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,1,21
3,VALUE,1,21
0,MULTI,16,0
2,VAR,9,0
3,VALUE,7,0
0,MULTI,118,44
1,CONTROL,84,44
3,VALUE,39,44
0,MULTI,19,26
2,VAR,19,26
3,VALUE,19,26
0,MULTI,14,4
1,CONTROL,8,4
2,VAR,1,4
3,VALUE,10,4
0,MULTI,10,2
1,CONTROL,10,2
0,MULTI,2,1
2,VAR,2,1
3,VALUE,2,1
0,MULTI,8,6
1,CONTROL,8,6
0,MULTI,6,0
3,VALUE,6,0
0,MULTI,6,1
2,VAR,6,1
0,MULTI,10,0
3,VALUE,10,0
0,MULTI,4,52
2,VAR,2,52
3,VALUE,4,52
0,MULTI,2,26
2,VAR,2,26
3,VALUE,2,26
0,MULTI,1,15
2,VAR,1,15
3,VALUE,1,15
0,MULTI,11,77
2,VAR,9,77
3,VALUE,10,77
0,MULTI,1,0
2,VAR,1,0
3,VALUE,1,0
0,MULTI,38,6
3,VALUE,38,6
0,MULTI,24,6
1,CONTROL,24,6
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,1,3
2,VAR,1,3
3,VALUE,1,3
0,MULTI,7,14
1,CONTROL,2,14
2,VAR,1,14
3,VALUE,4,14
0,MULTI,2,4
2,VAR,2,4
3,VALUE,1,4
0,MULTI,4,1
1,CONTROL,4,1
0,MULTI,10,12
1,CONTROL,10,12
0,MULTI,2,0
2,VAR,2,0
3,VALUE,2,0
0,MULTI,6,4
2,VAR,2,4
3,VALUE,6,4
0,MULTI,8,1
3,VALUE,8,1
0,MULTI,2,7
2,VAR,2,7
3,VALUE,2,7
0,MULTI,9,33
2,VAR,5,33
3,VALUE,9,33
0,MULTI,1,25
2,VAR,1,25
3,VALUE,1,25
0,MULTI,9,9
3,VALUE,9,9
0,MULTI,3,6
3,VALUE,3,6
0,MULTI,16,10
3,VALUE,16,10
0,MULTI,3,8
2,VAR,1,8
3,VALUE,3,8
0,MULTI,1,8
2,VAR,1,8
3,VALUE,1,8
0,MULTI,1,14
2,VAR,1,14
3,VALUE,1,14
0,MULTI,7,0
3,VALUE,7,0
0,MULTI,4,9
2,VAR,2,9
3,VALUE,4,9
0,MULTI,2,3
1,CONTROL,2,3
0,MULTI,1,24
2,VAR,1,24
3,VALUE,1,24
0,MULTI,2,8
1,CONTROL,2,8
3,VALUE,2,8
0,MULTI,71,33
1,CONTROL,71,33
3,VALUE,9,33
0,MULTI,1,6
2,VAR,1,6
3,VALUE,1,6
0,MULTI,3,25
2,VAR,1,25
3,VALUE,3,25
0,MULTI,30,3
1,CONTROL,28,3
3,VALUE,2,3
0,MULTI,4,4
2,VAR,2,4
3,VALUE,4,4
0,MULTI,2,8
1,CONTROL,2,8
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,32,8
1,CONTROL,16,8
3,VALUE,24,8
0,MULTI,7,5
3,VALUE,7,5
0,MULTI,1,23
3,VALUE,1,23
0,MULTI,3,2
2,VAR,3,2
3,VALUE,3,2
0,MULTI,7,6
1,CONTROL,7,6
0,MULTI,15,1
1,CONTROL,13,1
3,VALUE,12,1
0,MULTI,15,1
1,CONTROL,15,1
3,VALUE,2,1
0,MULTI,23,2
1,CONTROL,23,2
0,MULTI,18,12
1,CONTROL,7,12
2,VAR,4,12
3,VALUE,12,12
0,MULTI,4,2
1,CONTROL,4,2
0,MULTI,12,56
2,VAR,2,56
3,VALUE,12,56
0,MULTI,4,2
1,CONTROL,4,2
0,MULTI,1,17
1,CONTROL,1,17
0,MULTI,18,6
1,CONTROL,12,6
3,VALUE,6,6
0,MULTI,2,1
2,VAR,2,1
0,MULTI,1,3
2,VAR,1,3
3,VALUE,1,3
0,MULTI,8,22
3,VALUE,8,22
0,MULTI,2,15
1,CONTROL,2,15
3,VALUE,2,15
0,MULTI,1,4
3,VALUE,1,4
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,4,10
1,CONTROL,4,10
3,VALUE,4,10
0,MULTI,13,32
1,CONTROL,12,32
3,VALUE,11,32
0,MULTI,13,11
1,CONTROL,5,11
3,VALUE,9,11
0,MULTI,2,0
3,VALUE,2,0
